Image,PSNR1,PSNR2,PSNRavg,SSIM1,SSIM2,SSIMavg,bpp,Reversible
Airplane.png,51.595,48.591,50.093,0.99633,0.99320,0.99476,1.5000,True
Baboon.png,51.603,48.593,50.098,0.99909,0.99832,0.99870,1.4998,True
Barbara.png,51.595,48.598,50.096,0.99794,0.99619,0.99706,1.5000,True
Boat.png,51.587,48.594,50.091,0.99764,0.99561,0.99662,1.4999,True
Couple.png,51.647,48.617,50.132,0.99783,0.99597,0.99690,1.4889,True
Elaine.png,51.653,48.657,50.155,0.99745,0.99528,0.99636,1.4821,True
Goldhill.png,51.606,48.590,50.098,0.99788,0.99607,0.99697,1.5000,True
Peppers.png,51.601,48.580,50.090,0.99701,0.99447,0.99574,1.5000,True
Zelda.png,51.588,48.597,50.093,0.99574,0.99211,0.99393,1.4998,True
